
Артикул,Наименование,Цена,Валюта,Категория,Описание,Изображение
SENIX-Drill-HSS-6.5,Сверло по металлу HSS 6.5мм,140,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 6.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-7.0,Сверло по металлу HSS 7.0мм,145,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 7.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-7.5,Сверло по металлу HSS 7.5мм,150,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 7.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-8.0,Сверло по металлу HSS 8.0мм,155,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 8.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-8.5,Сверло по металлу HSS 8.5мм,160,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 8.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-9.0,Сверло по металлу HSS 9.0мм,165,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 9.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-9.5,Сверло по металлу HSS 9.5мм,170,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 9.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-10.0,Сверло по металлу HSS 10.0мм,175,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 10.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-10.5,Сверло по металлу HSS 10.5мм,180,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 10.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-11.0,Сверло по металлу HSS 11.0мм,185,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 11.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-11.5,Сверло по металлу HSS 11.5мм,190,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 11.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-12.0,Сверло по металлу HSS 12.0мм,195,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 12.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-12.5,Сверло по металлу HSS 12.5мм,200,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 12.5мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Drill-HSS-13.0,Сверло по металлу HSS 13.0мм,205,RUB,Сверла и буры,"Сверло по металлу HSS диаметром 13.0мм",https://images.unsplash.com/photo-1609205106934-d69d0adf9c39
SENIX-Wrench-8-10,Ключ комбинированный 8-10мм,290,RUB,Ключи и отвертки,"Комбинированный ключ 8-10мм",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Wrench-10-12,Ключ комбинированный 10-12мм,310,RUB,Ключи и отвертки,"Комбинированный ключ 10-12мм",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Wrench-12-14,Ключ комбинированный 12-14мм,330,RUB,Ключи и отвертки,"Комбинированный ключ 12-14мм",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Wrench-14-17,Ключ комбинированный 14-17мм,350,RUB,Ключи и отвертки,"Комбинированный ключ 14-17мм",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Wrench-17-19,Ключ комбинированный 17-19мм,390,RUB,Ключи и отвертки,"Комбинированный ключ 17-19мм",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-PH1,Отвертка крестовая PH1,150,RUB,Ключи и отвертки,"Отвертка крестовая PH1",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-PH2,Отвертка крестовая PH2,165,RUB,Ключи и отвертки,"Отвертка крестовая PH2",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-PH3,Отвертка крестовая PH3,180,RUB,Ключи и отвертки,"Отвертка крестовая PH3",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-SL3,Отвертка плоская SL3,140,RUB,Ключи и отвертки,"Отвертка плоская SL3",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-SL4,Отвертка плоская SL4,155,RUB,Ключи и отвертки,"Отвертка плоская SL4",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-SL5,Отвертка плоская SL5,170,RUB,Ключи и отвертки,"Отвертка плоская SL5",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Screwdriver-SL6,Отвертка плоская SL6,185,RUB,Ключи и отвертки,"Отвертка плоская SL6",https://images.unsplash.com/photo-1580979796302-1985aa03b56e
SENIX-Pliers-160,Плоскогубцы 160мм,390,RUB,Режущий инструмент,"Плоскогубцы длиной 160мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Pliers-180,Плоскогубцы 180мм,430,RUB,Режущий инструмент,"Плоскогубцы длиной 180мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Pliers-200,Плоскогубцы 200мм,470,RUB,Режущий инструмент,"Плоскогубцы длиной 200мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Cutter-160,Кусачки 160мм,350,RUB,Режущий инструмент,"Кусачки длиной 160мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Cutter-180,Кусачки 180мм,390,RUB,Режущий инструмент,"Кусачки длиной 180мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Cutter-200,Кусачки 200мм,430,RUB,Режущий инструмент,"Кусачки длиной 200мм",https://images.unsplash.com/photo-1517077304055-6e89abbf09b0
SENIX-Hammer-300,Молоток слесарный 300г,290,RUB,Ударный инструмент,"Молоток слесарный весом 300г",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Hammer-500,Молоток слесарный 500г,350,RUB,Ударный инструмент,"Молоток слесарный весом 500г",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Hammer-800,Молоток слесарный 800г,430,RUB,Ударный инструмент,"Молоток слесарный весом 800г",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Hammer-1000,Молоток слесарный 1кг,490,RUB,Ударный инструмент,"Молоток слесарный весом 1кг",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Chisel-10,Зубило 10мм,190,RUB,Ударный инструмент,"Зубило шириной 10мм",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Chisel-15,Зубило 15мм,210,RUB,Ударный инструмент,"Зубило шириной 15мм",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-Chisel-20,Зубило 20мм,230,RUB,Ударный инструмент,"Зубило шириной 20мм",https://images.unsplash.com/photo-1544724569-5f546fd6f2b5
SENIX-File-200-Flat,Напильник плоский 200мм,240,RUB,Абразивный инструмент,"Напильник плоский длиной 200мм",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-File-200-Round,Напильник круглый 200мм,250,RUB,Абразивный инструмент,"Напильник круглый длиной 200мм",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-File-250-Flat,Напильник плоский 250мм,280,RUB,Абразивный инструмент,"Напильник плоский длиной 250мм",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-File-250-Round,Напильник круглый 250мм,290,RUB,Абразивный инструмент,"Напильник круглый длиной 250мм",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-Sandpaper-P80,Наждачная бумага P80,45,RUB,Абразивный инструмент,"Наждачная бумага зернистостью P80",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-Sandpaper-P120,Наждачная бумага P120,50,RUB,Абразивный инструмент,"Наждачная бумага зернистостью P120",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-Sandpaper-P180,Наждачная бумага P180,55,RUB,Абразивный инструмент,"Наждачная бумага зернистостью P180",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-Sandpaper-P240,Наждачная бумага P240,60,RUB,Абразивный инструмент,"Наждачная бумага зернистостью P240",https://images.unsplash.com/photo-1572947493373-15ffafbb8ba1
SENIX-Level-400,Уровень строительный 400мм,590,RUB,Измерительные инструменты,"Уровень строительный длиной 400мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Level-600,Уровень строительный 600мм,790,RUB,Измерительные инструменты,"Уровень строительный длиной 600мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Level-800,Уровень строительный 800мм,990,RUB,Измерительные инструменты,"Уровень строительный длиной 800мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Level-1000,Уровень строительный 1000мм,1190,RUB,Измерительные инструменты,"Уровень строительный длиной 1000мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Ruler-300,Линейка металлическая 300мм,190,RUB,Измерительные инструменты,"Линейка металлическая длиной 300мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Ruler-500,Линейка металлическая 500мм,290,RUB,Измерительные инструменты,"Линейка металлическая длиной 500мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Ruler-1000,Линейка металлическая 1000мм,490,RUB,Измерительные инструменты,"Линейка металлическая длиной 1000мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Caliper-150,Штангенциркуль 150мм,890,RUB,Измерительные инструменты,"Штангенциркуль с пределом измерения 150мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Caliper-200,Штангенциркуль 200мм,1190,RUB,Измерительные инструменты,"Штангенциркуль с пределом измерения 200мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
SENIX-Caliper-300,Штангенциркуль 300мм,1590,RUB,Измерительные инструменты,"Штангенциркуль с пределом измерения 300мм",https://images.unsplash.com/photo-1586864387789-628af9feed72
